array,AFR,AMR,EAS,EUR,SAS
GSA,0.567 ± 0.076,0.799 ± 0.054,0.735 ± 0.053,0.814 ± 0.052,0.731 ± 0.054
JAPONICA,0.668 ± 0.062,0.827 ± 0.042,0.826 ± 0.039,0.809 ± 0.040,0.780 ± 0.041
UKB_WCSG,0.633 ± 0.046,0.861 ± 0.034,0.764 ± 0.035,0.892 ± 0.034,0.808 ± 0.034
CYTOSNP,0.790 ± 0.057,0.848 ± 0.040,0.783 ± 0.042,0.828 ± 0.040,0.794 ± 0.042
PMRA,0.780 ± 0.040,0.850 ± 0.035,0.803 ± 0.037,0.834 ± 0.037,0.780 ± 0.036
PMDA,0.822 ± 0.029,0.879 ± 0.022,0.782 ± 0.025,0.862 ± 0.024,0.803 ± 0.028
OMNI2.5,0.898 ± 0.040,0.900 ± 0.034,0.838 ± 0.036,0.887 ± 0.035,0.854 ± 0.035
OMNI5,0.914 ± 0.036,0.929 ± 0.030,0.856 ± 0.032,0.936 ± 0.031,0.887 ± 0.032
LPS_0.5,0.898 ± 0.058,0.890 ± 0.055,0.822 ± 0.056,0.872 ± 0.056,0.848 ± 0.056
LPS_0.75,0.914 ± 0.056,0.905 ± 0.054,0.848 ± 0.055,0.892 ± 0.055,0.872 ± 0.055
LPS_1.0,0.923 ± 0.054,0.915 ± 0.053,0.868 ± 0.055,0.907 ± 0.054,0.889 ± 0.054
LPS_1.25,0.929 ± 0.053,0.922 ± 0.051,0.883 ± 0.053,0.916 ± 0.052,0.901 ± 0.052
LPS_1.5,0.933 ± 0.050,0.928 ± 0.048,0.895 ± 0.048,0.924 ± 0.048,0.910 ± 0.049
LPS_2.0,0.941 ± 0.041,0.937 ± 0.041,0.913 ± 0.042,0.935 ± 0.040,0.925 ± 0.040
